,predictions,file_names
0,happy,03-01-03-01-01-01-15.wav
1,fearful,03-01-02-02-01-01-09.wav
2,happy,03-01-03-01-02-02-21.wav
3,happy,03-01-03-02-02-02-05.wav
4,disgust,03-01-07-01-02-01-21.wav
5,happy,03-01-02-02-02-01-13.wav
6,disgust,03-01-03-02-02-02-19.wav
7,happy,03-01-03-02-01-02-03.wav
8,disgust,03-01-07-02-02-01-13.wav
9,happy,03-01-03-02-02-01-16.wav
10,fearful,03-01-03-02-02-01-06.wav
11,disgust,03-01-07-01-02-01-15.wav
12,fearful,03-01-03-02-01-01-18.wav
13,happy,03-01-03-02-01-02-13.wav
14,disgust,03-01-07-02-02-01-14.wav
15,happy,03-01-06-02-01-02-11.wav
16,calm,03-01-02-02-02-02-02.wav
17,disgust,03-01-03-02-01-01-19.wav
18,disgust,03-01-07-02-02-02-12.wav
19,calm,03-01-07-01-02-01-03.wav
20,disgust,03-01-02-01-01-01-05.wav
21,disgust,03-01-07-02-02-01-01.wav
22,disgust,03-01-07-02-01-01-08.wav
23,calm,03-01-02-01-01-02-03.wav
24,happy,03-01-03-01-02-01-06.wav
25,happy,03-01-03-01-02-01-04.wav
26,disgust,03-01-07-01-02-02-09.wav
27,happy,03-01-07-02-01-02-10.wav
28,fearful,03-01-02-01-02-01-14.wav
29,fearful,03-01-02-01-01-02-09.wav
30,happy,03-01-03-02-02-01-13.wav
31,disgust,03-01-07-02-02-02-22.wav
32,disgust,03-01-03-02-02-01-23.wav
33,fearful,03-01-06-01-01-02-09.wav
34,happy,03-01-06-02-02-01-13.wav
35,calm,03-01-02-01-01-02-24.wav
36,calm,03-01-02-02-01-02-18.wav
37,fearful,03-01-06-02-01-01-22.wav
38,calm,03-01-02-01-01-02-20.wav
39,disgust,03-01-02-01-01-01-16.wav
40,happy,03-01-03-01-01-01-23.wav
41,disgust,03-01-07-01-01-01-06.wav
42,calm,03-01-02-01-02-02-07.wav
43,calm,03-01-02-02-02-02-18.wav
44,happy,03-01-07-01-01-02-17.wav
45,disgust,03-01-02-01-02-02-05.wav
46,disgust,03-01-07-01-01-01-16.wav
47,happy,03-01-03-01-01-02-19.wav
48,calm,03-01-02-01-01-02-04.wav
49,happy,03-01-03-02-02-02-02.wav
50,fearful,03-01-06-02-01-02-18.wav
51,fearful,03-01-06-02-01-02-12.wav
52,fearful,03-01-06-01-02-02-07.wav
53,fearful,03-01-06-02-01-01-05.wav
54,happy,03-01-03-01-01-01-20.wav
55,fearful,03-01-06-01-02-02-22.wav
56,disgust,03-01-07-01-02-02-12.wav
57,happy,03-01-03-01-01-01-02.wav
58,calm,03-01-02-02-01-01-08.wav
59,calm,03-01-02-02-01-02-02.wav
60,disgust,03-01-07-02-02-02-05.wav
61,calm,03-01-02-01-01-02-11.wav
62,disgust,03-01-07-01-02-01-22.wav
63,calm,03-01-02-01-02-01-15.wav
64,happy,03-01-07-02-01-02-06.wav
65,calm,03-01-02-01-02-01-17.wav
